"country","gdp","population","export","import"
"Afghanistan",15856668555.8336,28189672,422.31,146.01
"Afghanistan",17805098206.3141,29249157,510.81,132.49
"Afghanistan",19907329777.5872,30466479,472.55,159.53
"Afghanistan",20146416757.5987,31541209,474.26,208.76
"Afghanistan",20497128555.6972,32716210,422.48,261.92
"Afghanistan",19134221644.7325,33753499,526.51,307.9
"Afghanistan",18116572395.0772,34636207,506.26,292.9
"Afghanistan",18753456497.8159,35643418,709.66,433.77
"Afghanistan",18053222687.4126,36686784,715.35,435.44
"Afghanistan",18799444490.1128,37769499,997.48,529.84
"Afghanistan",19955929052.1496,38972230,825.67,509.48
"Afghanistan",14266499429.8746,40099462,554.4,510.92
"Albania",11926926615.8015,2913021,11.49,0.11
"Albania",12890760315.146,2905195,12.61,141.13
"Albania",12319834195.331,2900401,17.47,31.05
"Albania",12776224496.9718,2895092,18.71,198.79
"Albania",13228147516.1168,2889104,19.44,50.77
"Albania",11386853113.0189,2880703,24,17.18
"Albania",11861199830.8396,2876101,26.43,6.5
"Albania",13019726211.7369,2873457,29.29,38.85
"Albania",15156424015.1977,2866376,37.07,22.62
"Albania",15401826127.2539,2854191,44.12,47.5
"Albania",15162734205.2462,2837849,46.73,8.3
"Albania",17930565118.8176,2811666,55.14,30.71
"Algeria",177785053939.531,35856344,781.92,1816.19
"Algeria",218331946925.304,36543541,835.59,2111.43
"Algeria",227143746075.934,37260563,1088.67,683.54
"Algeria",229701430292.157,38000626,1069.44,860.89
"Algeria",238942664192.59,38760168,1063.65,551.81
"Algeria",187493855609.345,39543154,787.74,299.43
"Algeria",180763839522.151,40339329,841.81,605.11
"Algeria",189880896903.073,41136546,823.18,1260.96
"Algeria",194554483655.528,41927007,940.24,1696.94
"Algeria",193459662090.677,42705368,610.96,1996.74
"Algeria",164873415325.201,43451666,594.67,408.79
"Algeria",186265418570.697,44177969,703.19,1004.24
"American Samoa",5.73e+08,54849,0.2,0.15
"American Samoa",5.7e+08,54310,2.05,1.4
"American Samoa",6.4e+08,53691,0.37,0.78
"American Samoa",6.38e+08,52995,0.06,0.12
"American Samoa",6.43e+08,52217,0.19,0.66
"American Samoa",6.73e+08,51368,0.14,1.13
"American Samoa",6.71e+08,50448,0.07,0.14
"American Samoa",6.12e+08,49463,0.29,0.31
"American Samoa",6.39e+08,48424,0.03,0
"American Samoa",6.47e+08,47321,0.14,3.08
"American Samoa",7.21e+08,46189,0.59,0.96
"American Samoa",7.5e+08,45035,0.77,0
"Andorra",3449925738.86069,71519,0.27,0.01
"Andorra",3629133574.27783,70567,0.24,0.03
"Andorra",3188652765.36184,71013,0.1,0.01
"Andorra",3193512950.02419,71367,0.12,0
"Andorra",3271685596.66321,71621,0.25,5.28
"Andorra",2789881258.50362,71746,0.11,0
"Andorra",2896610479.73077,72540,0.13,0.09
"Andorra",3000162081.11976,73837,4.72,0
"Andorra",3218419896.9641,75013,0.34,0.03
"Andorra",3155149347.80639,76343,0.07,0.03
"Andorra",2891001149.3611,77700,0.01,0.01
"Andorra",3324683011.5903,79034,0.05,0
"Angola",83799474069.7315,23364185,675.41,5112.13
"Angola",111789747670.59,24259111,454.25,6625.07
"Angola",128052915766.343,25188292,488.73,7157.52
"Angola",132339109040.232,26147002,535.97,5992.31
"Angola",135966802586.713,27128337,552.58,4617.63
"Angola",90496420506.5957,28127721,223.14,2766.8
"Angola",52761617225.9253,29154746,154.54,2596.48
"Angola",73690154990.7312,30208628,234.86,4323.85
"Angola",79450688259.3664,31273533,282.26,4027.48
"Angola",70897962732.0277,32353588,284.98,3649.01
"Angola",48501561203.5686,33428486,259.48,1879.76
"Angola",66505129987.7235,34503774,452.34,2725.07
"Antigua and Barbuda",1298255555.55556,85695,0.95,15.62
"Antigua and Barbuda",1281337037.03704,86729,0.86,0.06
"Antigua and Barbuda",1327107407.40741,87674,1.34,0.24
"Antigua and Barbuda",1325425925.92593,88497,2.18,0.04
"Antigua and Barbuda",1378829629.62963,89236,2.07,0.49
